nombre,tipo,marca,material,talla,color,precio,stock,sede,estado,sucursales,createdAt,updatedAt
Tenis deportivos Adidas Run,Deportivo,Adidas,Sintético,26,Negro,899,12,General,Disponible,"[{'nombre': 'Centro', 'stock': 5}, {'nombre': 'Norte', 'stock': 4}, {'nombre': 'Sur', 'stock': 3}]",2026-04-26 21:49:38.241,2026-04-26 21:49:38.241
Zapato casual Flexi piel,Casual,Flexi,Piel,27,Café,1199,8,General,Disponible,"[{'nombre': 'Centro', 'stock': 3}, {'nombre': 'Norte', 'stock': 2}, {'nombre': 'Sur', 'stock': 3}]",2026-04-26 21:49:51.233,2026-04-26 21:49:51.233
Sandalia dama Cklass,Sandalia,Cklass,Sintético,23,Beige,549,15,General,Disponible,"[{'nombre': 'Centro', 'stock': 6}, {'nombre': 'Norte', 'stock': 5}, {'nombre': 'Sur', 'stock': 4}]",2026-04-26 21:50:09.886,2026-04-26 21:50:09.886
Tenis Nike urbano,Urbano,Nike,Textil,25,Blanco,1350,10,General,Disponible,"[{'nombre': 'Centro', 'stock': 4}, {'nombre': 'Norte', 'stock': 3}, {'nombre': 'Sur', 'stock': 3}]",2026-04-26 21:50:19.643,2026-04-26 21:50:19.643
Mocasín caballero Dockers,Formal,Dockers,Piel,28,Negro,1299,5,General,Disponible,"[{'nombre': 'Centro', 'stock': 2}, {'nombre': 'Norte', 'stock': 1}, {'nombre': 'Sur', 'stock': 2}]",2026-04-26 21:50:30.004,2026-04-26 21:50:30.004
Bota industrial Truper,Industrial,Truper,Piel,29,Café,1500,9,General,Disponible,"[{'nombre': 'Centro', 'stock': 3}, {'nombre': 'Norte', 'stock': 2}, {'nombre': 'Sur', 'stock': 2}]",2026-04-26 21:51:05.187,2026-04-26 21:54:12.275
Tenis infantil Bubble Gummers,Infantil,Bubble Gummers,Sintético,18,Azul,699,14,General,Disponible,"[{'nombre': 'Centro', 'stock': 5}, {'nombre': 'Norte', 'stock': 5}, {'nombre': 'Sur', 'stock': 4}]",2026-04-26 21:51:15.467,2026-04-26 21:51:15.467
Zapatilla dama Efe,Zapatilla,Efe,Sintético,24,Rojo,799,4,General,Inventario bajo,"[{'nombre': 'Centro', 'stock': 1}, {'nombre': 'Norte', 'stock': 1}, {'nombre': 'Sur', 'stock': 2}]",2026-04-26 21:51:27.016,2026-04-26 21:51:27.016
Tenis Vans clásico,Casual,Vans,Lona,25,Negro,950,9,General,Disponible,"[{'nombre': 'Centro', 'stock': 3}, {'nombre': 'Norte', 'stock': 3}, {'nombre': 'Sur', 'stock': 3}]",2026-04-26 21:51:37.953,2026-04-26 21:51:37.953
Botín dama Andrea,Botín,Andrea,Sintético,24,Negro,999,6,General,Disponible,"[{'nombre': 'Centro', 'stock': 2}, {'nombre': 'Norte', 'stock': 2}, {'nombre': 'Sur', 'stock': 2}]",2026-04-26 22:03:22.453,2026-04-26 22:03:22.453
